Age,Gender,Department,JobRole,MonthlyIncome,Education,BusinessTravel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,OverTime,YearsAtCompany,TotalWorkingYears,DistanceFromHome,PerformanceRating,MaritalStatus,Attrition
41,Male,Research & Development,Healthcare Representative,5946.0,2,Travel_Rarely,3,3,4,No,0,2.0,1.0,4,Married,Yes
32,Female,Research & Development,Human Resources,9765.0,2,Travel_Rarely,4,3,2,Yes,4,10.0,30.0,3,Divorced,No
34,Male,Human Resources,Research Scientist,6380.0,3,Non-Travel,2,4,4,No,0,7.0,1.0,4,Single,No
46,Female,Research & Development,Research Scientist,7374.0,5,Non-Travel,3,4,1,No,9,10.0,6.0,3,Divorced,No
28,Male,Sales,Sales Representative,2308.0,3,Travel_Rarely,4,4,3,No,6,8.0,12.0,3,Divorced,No
39,Female,Sales,Sales Representative,2074.0,4,Travel_Rarely,3,3,1,No,17,19.0,11.0,3,Married,No
18,Female,Sales,Laboratory Technician,9787.0,1,Travel_Rarely,4,1,4,No,0,6.0,4.0,3,Single,Yes
33,Female,Research & Development,Human Resources,6078.0,2,Travel_Rarely,2,3,4,No,11,17.0,18.0,3,Married,Yes
24,Female,Research & Development,Human Resources,2423.0,3,Travel_Rarely,2,4,4,No,1,,9.0,3,Divorced,Yes
36,Male,Sales,Research Scientist,3863.0,2,Travel_Frequently,3,2,2,No,2,7.0,2.0,3,Married,Yes
29,Female,Human Resources,Manager,12036.0,3,Non-Travel,1,1,4,No,5,7.0,7.0,3,Single,No
37,Female,Human Resources,Research Director,8982.0,2,Travel_Rarely,1,2,3,No,5,11.0,8.0,3,Married,No
34,Female,Research & Development,Sales Representative,5676.0,2,Travel_Rarely,4,4,3,No,2,2.0,8.0,3,Single,Yes
44,Female,Human Resources,Human Resources,13963.0,3,Travel_Rarely,1,4,1,No,0,7.0,8.0,3,Married,No
34,Male,Sales,Manager,3485.0,5,Travel_Rarely,4,3,3,No,3,3.0,1.0,3,Single,No
35,Female,Research & Development,Healthcare Representative,7808.0,5,Travel_Rarely,2,1,3,No,9,13.0,1.0,3,Married,Yes
46,Male,Research & Development,Research Director,5158.0,2,Travel_Rarely,3,2,3,No,10,10.0,15.0,3,Married,No
41,Female,Research & Development,Sales Representative,12249.0,3,Travel_Rarely,4,2,4,No,0,1.0,1.0,3,Single,No
20,Female,Research & Development,Sales Executive,7929.0,1,Travel_Frequently,2,3,4,No,8,12.0,4.0,3,Single,Yes
30,Female,Human Resources,Laboratory Technician,3852.0,3,Non-Travel,1,2,1,Yes,2,6.0,1.0,4,Married,Yes
38,Male,Research & Development,Healthcare Representative,8811.0,3,Travel_Rarely,4,2,4,Yes,0,4.0,1.0,3,Divorced,Yes
42,Female,Sales,Sales Representative,5202.0,1,Travel_Frequently,4,1,4,No,0,7.0,23.0,4,Divorced,No
42,Male,Research & Development,Sales Executive,10630.0,4,Travel_Frequently,4,3,1,No,11,12.0,1.0,3,Single,No
51,Female,Research & Development,Human Resources,14305.0,2,Travel_Frequently,4,4,1,No,1,10.0,4.0,3,Married,No
33,Female,Sales,Healthcare Representative,4309.0,2,Travel_Rarely,3,1,3,Yes,11,14.0,14.0,3,Divorced,No
35,Male,Research & Development,Healthcare Representative,7307.0,3,Travel_Rarely,1,3,4,No,0,9.0,29.0,4,Single,No
53,Male,Sales,Sales Executive,8118.0,2,Non-Travel,1,4,2,No,11,12.0,1.0,3,Divorced,No
24,Male,Human Resources,Manufacturing Director,11806.0,3,Travel_Rarely,3,3,2,No,0,2.0,2.0,3,Married,No
42,Male,Research & Development,Human Resources,8644.0,3,Travel_Rarely,4,1,2,No,8,12.0,1.0,4,Divorced,Yes
27,Male,Research & Development,Sales Executive,11301.0,5,Non-Travel,4,2,4,Yes,2,9.0,7.0,3,Single,Yes
46,Female,Sales,Manufacturing Director,1000.0,5,Travel_Rarely,1,1,1,No,4,6.0,13.0,4,Married,No
53,Female,Research & Development,Healthcare Representative,6205.0,4,Travel_Frequently,1,3,1,No,2,2.0,14.0,3,Married,Yes
37,Male,Research & Development,Laboratory Technician,6687.0,2,Travel_Rarely,2,1,3,Yes,1,1.0,8.0,3,Married,Yes
30,Female,Research & Development,Research Scientist,7179.0,3,Travel_Frequently,1,1,4,No,2,6.0,7.0,3,Single,Yes
21,Male,Sales,Research Scientist,12277.0,2,Travel_Rarely,4,3,4,Yes,3,3.0,23.0,3,Divorced,No
36,Female,Research & Development,Research Scientist,10990.0,2,Non-Travel,1,3,3,No,2,9.0,1.0,3,Married,No
41,Male,Sales,Laboratory Technician,6560.0,4,Travel_Rarely,2,1,2,Yes,0,8.0,3.0,4,Single,Yes
26,Male,Research & Development,Research Director,6050.0,4,Travel_Rarely,1,4,3,No,12,21.0,11.0,3,Married,Yes
44,Male,Research & Development,Research Scientist,8384.0,3,Travel_Rarely,3,4,1,No,1,7.0,3.0,3,Single,No
44,Male,Research & Development,Manufacturing Director,15997.0,4,Travel_Rarely,3,2,1,No,11,12.0,2.0,3,Single,No
35,Female,Sales,Research Director,1000.0,4,Non-Travel,3,3,4,No,29,34.0,4.0,4,Divorced,Yes
43,Male,Research & Development,Research Scientist,14673.0,2,Travel_Frequently,2,2,2,No,1,4.0,2.0,3,Married,Yes
26,Female,Sales,Laboratory Technician,7570.0,1,Travel_Rarely,2,1,3,No,1,8.0,13.0,3,Married,Yes
49,Male,Research & Development,Sales Executive,8306.0,3,Travel_Frequently,3,1,2,Yes,0,7.0,10.0,3,Married,No
43,Male,Sales,Healthcare Representative,9051.0,2,Travel_Rarely,2,4,1,No,2,9.0,4.0,3,Divorced,No
56,Male,Sales,Sales Executive,9247.0,1,Travel_Rarely,3,3,2,No,4,11.0,9.0,3,Divorced,No
41,Male,Sales,Sales Executive,12832.0,4,Travel_Frequently,1,2,4,No,7,16.0,3.0,3,Single,Yes
32,Male,Sales,Research Scientist,6609.0,3,Travel_Rarely,3,1,4,Yes,11,16.0,2.0,3,Single,No
34,Female,Research & Development,Manufacturing Director,4740.0,5,Travel_Frequently,1,4,3,Yes,4,13.0,1.0,3,Single,Yes
32,Female,Sales,Human Resources,1560.0,2,Travel_Rarely,3,1,1,No,8,12.0,7.0,3,Married,No
36,Male,Research & Development,Sales Executive,9729.0,3,Non-Travel,3,3,2,Yes,3,8.0,1.0,3,Married,Yes
30,Male,Sales,Manufacturing Director,15606.0,4,Travel_Rarely,4,1,3,No,0,6.0,4.0,3,Single,No
24,Female,Research & Development,Research Scientist,12361.0,2,Travel_Rarely,2,2,2,No,2,7.0,11.0,3,Single,Yes
35,Male,Research & Development,Sales Executive,10242.0,1,Travel_Rarely,4,3,3,No,4,12.0,12.0,3,Married,No
34,Female,Research & Development,Manufacturing Director,5000.0,5,Travel_Rarely,2,3,3,No,0,6.0,10.0,3,Single,No
44,Male,Research & Development,Manufacturing Director,10520.0,3,Non-Travel,4,1,1,No,4,5.0,15.0,3,Divorced,No
38,Male,Research & Development,Sales Executive,2596.0,3,Travel_Rarely,1,4,2,No,1,6.0,8.0,3,Single,No
42,Female,Human Resources,Healthcare Representative,6467.0,1,Travel_Rarely,2,2,4,Yes,0,4.0,2.0,3,Married,Yes
36,Female,Human Resources,Healthcare Representative,15691.0,3,Travel_Rarely,4,2,4,No,1,5.0,7.0,3,Married,No
