N,P,K,temperature,humidity,ph,rainfall,label
94.6,23.5,53.3,28.87,91.16,6.47,30.87,muskmelon
96.2,16.9,51.7,28.33,67.65,6.76,41.17,watermelon
34.5,67.8,47.9,30.36,94.86,6.88,145.22,papaya
55.9,45.7,45.2,24.55,87.52,6.43,93.62,papaya
21.2,138.2,202.0,23.78,91.09,5.83,127.72,apple
22.6,25.6,28.7,30.24,48.34,5.54,73.64,mango
24.9,136.8,193.8,21.3,93.35,6.49,109.87,apple
15.2,52.9,22.1,30.23,64.75,5.12,48.5,mothbeans
25.2,58.3,25.0,30.04,79.31,7.32,41.23,mungbean
23.1,71.9,21.8,23.66,63.99,5.56,53.67,lentil
41.4,64.9,23.7,27.44,74.5,7.44,67.43,blackgram
29.2,19.2,35.7,30.33,87.63,5.57,130.19,coconut
23.3,14.9,34.7,21.58,94.41,5.57,61.42,pomegranate
71.9,49.1,37.5,27.08,72.21,6.83,180.14,jute
24.2,16.2,34.8,31.97,94.38,5.51,218.54,coconut
24.3,13.6,34.9,19.29,90.77,5.73,61.71,pomegranate
21.5,124.8,203.6,20.79,85.26,5.53,118.67,apple
65.0,55.6,19.3,19.8,64.83,5.89,89.1,maize
61.7,59.5,54.7,34.17,89.28,6.33,147.5,papaya
95.2,20.9,54.1,26.65,94.08,6.31,39.65,muskmelon
113.6,17.5,26.6,25.49,56.1,6.95,185.72,coffee
65.4,66.2,48.2,30.49,85.73,6.84,59.2,papaya
13.2,11.0,18.6,29.56,86.11,7.26,116.67,orange
57.1,68.9,52.7,33.97,94.68,6.85,74.07,papaya
32.2,57.7,86.0,20.64,23.29,6.2,79.53,chickpea
78.9,53.9,43.8,27.82,76.49,6.8,160.53,jute
24.6,55.5,15.4,28.49,85.34,6.38,47.69,mungbean
19.1,22.3,21.4,24.62,87.45,7.45,100.25,orange
40.0,63.2,22.5,29.29,60.03,7.0,124.15,pigeonpeas
95.9,48.2,30.2,20.71,84.95,5.51,166.08,rice
21.7,16.6,37.3,23.45,88.82,6.16,63.21,pomegranate
19.1,47.2,15.8,28.6,47.66,6.14,41.42,mothbeans
73.7,43.4,44.9,25.61,72.81,6.22,174.1,jute
20.5,57.6,21.3,19.09,74.79,6.67,51.71,lentil
62.1,36.0,39.3,23.32,85.78,6.53,151.45,jute
45.7,56.9,16.1,25.49,63.86,6.2,67.8,blackgram
81.5,38.6,40.5,26.24,77.8,6.5,193.78,jute
22.3,69.7,84.6,22.14,14.71,7.16,82.46,chickpea
26.4,76.0,75.8,24.21,19.08,7.27,86.37,chickpea
25.7,62.9,19.7,20.75,21.21,5.86,84.71,kidneybeans
64.1,50.5,46.0,31.87,87.12,6.39,47.05,papaya
21.6,16.0,37.4,28.26,54.03,6.8,78.58,mango
54.1,67.7,19.5,27.79,74.38,6.21,77.39,blackgram
91.2,38.2,22.6,22.87,74.26,6.28,91.63,maize
15.7,59.0,21.8,29.42,79.06,6.37,63.55,mungbean
61.3,37.4,19.0,19.19,66.35,6.77,100.03,maize
25.6,55.9,16.3,28.72,30.0,6.12,152.25,pigeonpeas
19.7,24.3,36.8,29.62,90.18,5.75,227.85,coconut
94.3,17.1,48.2,26.87,94.67,6.16,36.81,muskmelon
88.9,56.6,21.4,24.25,65.85,6.15,77.28,maize
35.1,74.9,22.4,25.64,65.81,6.42,69.13,blackgram
115.8,28.0,32.1,23.14,66.72,6.74,163.26,coffee
23.7,121.9,204.2,18.65,84.56,6.78,75.11,grapes
15.3,59.6,15.9,30.7,79.21,6.2,51.0,mungbean
117.9,29.0,39.5,19.25,53.21,6.68,177.07,coffee
16.9,74.9,17.8,21.14,24.61,5.65,83.13,kidneybeans
129.2,40.3,15.8,24.22,73.73,5.85,67.71,cotton
15.1,137.9,195.2,23.15,88.39,6.57,103.92,apple
103.3,71.2,50.4,27.03,79.73,6.3,142.13,banana
34.2,63.9,19.0,25.57,68.75,7.33,64.55,blackgram
92.5,11.4,50.9,28.26,59.0,6.9,58.55,watermelon
19.3,18.9,29.5,25.39,85.03,5.65,209.23,coconut
17.2,57.6,19.2,25.16,62.12,5.7,59.3,lentil
14.2,18.6,21.6,31.28,87.61,6.5,113.93,orange
48.7,69.7,51.4,30.25,85.55,6.84,111.3,papaya
20.5,56.0,15.4,20.45,60.34,5.92,195.05,pigeonpeas
21.9,21.4,23.7,22.15,93.09,7.41,123.68,orange
63.2,45.7,38.2,26.88,76.68,6.1,246.95,rice
